datasource,name,description,provider
nbapei2013,National Biodiversity Assessment and Prince Edward & Marion Islands 2013,National Biodiversity Assessment and Prince Edward & Marion Islands 2013,Department of Environmental Affairs
sapad2016,South African Protected Areas Database,South African Protected Areas Database,Department of Environmental Affairs
sapad2018,South African Protected Areas Database,South African Protected Areas Database,Department of Environmental Affairs and South African National Biodiversity Institute (SANBI)
sanbi2014,South African National Biodiversity Institute 2014,South African National Biodiversity Institute 2014,South African National Biodiversity Institute
sanbi,South African National Biodiversity Institute,South African National Biodiversity Institute,South African National Biodiversity Institute
sayrbs2002,South African Youth Risk Behaviour Survey for the year 2002,South African Youth Risk Behaviour Survey for the year 2002,South African Medical Research Council (MRC)
sayrbs2008,South African Youth Risk Behaviour Survey for the year 2008,South African Youth Risk Behaviour Survey for the year 2008,South African Medical Research Council (MRC)
sayrbs2011,South African Youth Risk Behaviour Survey for the year 2011,South African Youth Risk Behaviour Survey for the year 2011,Human Sciences Research Council (HSRC)
hsrc,SABSSM 2012 and SABSSM 2017,SABSSM 2012 and SABSSM 2017,Human Sciences Research Council
csti,Centre for Science and Technology 2015,Centre for Science and Technology 2015,Human Sciences Research Council (HSRC)
csti17,Centre for Science and Technology 2016/2017,Centre for Science and Technology 2016/2017,Human Sciences Research Council (HSRC)
dcs,DCS: Remand Detention 2015-2018,DCS: Remand Detention 2015-2018,Department of Correctional Services
br2016,Budget Review 2016,Budget Review 2016,National Treasury
finstats,Financial Statistics of National Government and GDP (2008-2016),Financial Statistics of National Government and GDP (2008-2016),Statistics South Africa
finstats13_15,Financial Statistics of National Government (2013-2015),Financial Statistics of National Government (2013-2015),Statistics South Africa and National Treasury
dhs2015,Department of Human Settlements for 2015,Department of Human Settlements for 2015,Department of Human Settlements
sawis2015,South African Waste Information System for 2015,South African Waste Information System for 2015,Department of Environmental Affairs
sawis2017,South African Waste Information System for 2015 to 2017,South African Waste Information System for 2015 to 2017,Department of Environmental Affairs
saaqis2015,South African Air Quality Information System for 2015,South African Air Quality Information System for 2015,Department of Environmental Affairs
who2015,World Health Organisation for 2015,World Health Organisation for 2015,World Health organisation
tus2010,Time Use Survey for 2010,Time Use Survey for 2010,Statistics South Africa
ntes,Estimates of National Expenditure ,Estimates of National Expenditure(2013-2014 - 2015-2016),National Treasury
